((427699.67299238767, 7115400.263100198), (427799.7855687788, 7115400.263100198), (427799.7855687788, 7115300.060293796), (427699.67299238767, 7115300.060293796))
((442799.7641256567, 7128700.449462838), (442899.8767020478, 7128700.449462838), (442899.8767020478, 7128600.246656436), (442799.7641256567, 7128600.246656436))
((442099.86598048673, 7129500.087700066), (442199.9785568779, 7129500.087700066), (442199.9785568779, 7129399.884893664), (442099.86598048673, 7129399.884893664))
((442699.65154926555, 7128100.224731418), (442799.7641256567, 7128100.224731418), (442799.7641256567, 7128000.021925016), (442699.65154926555, 7128000.021925016))
((442699.65154926555, 7128700.449462838), (442799.7641256567, 7128700.449462838), (442799.7641256567, 7128600.246656436), (442699.65154926555, 7128600.246656436))
((442999.98927843897, 7130900.44672221), (443100.1018548301, 7130900.44672221), (443100.1018548301, 7130800.243915808), (442999.98927843897, 7130800.243915808))
((442799.7641256567, 7128800.156215742), (442899.8767020478, 7128800.156215742), (442899.8767020478, 7128699.95340934), (442799.7641256567, 7128699.95340934))
((442899.8767020478, 7131100.356281517), (442999.98927843897, 7131100.356281517), (442999.98927843897, 7131000.153475115), (442899.8767020478, 7131000.153475115))
((442399.75876487617, 7130400.424797193), (442499.8713412673, 7130400.424797193), (442499.8713412673, 7130300.221990791), (442399.75876487617, 7130300.221990791))
((442799.7641256567, 7131100.356281517), (442899.8767020478, 7131100.356281517), (442899.8767020478, 7131000.153475115), (442799.7641256567, 7131000.153475115))
((442199.9785568779, 7129600.290506468), (442300.091133269, 7129600.290506468), (442300.091133269, 7129500.087700066), (442199.9785568779, 7129500.087700066))
((442099.86598048673, 7129600.290506468), (442199.9785568779, 7129600.290506468), (442199.9785568779, 7129500.087700066), (442099.86598048673, 7129500.087700066))
((442299.646188485, 7130400.424797193), (442399.75876487617, 7130400.424797193), (442399.75876487617, 7130300.221990791), (442299.646188485, 7130300.221990791))
((442599.9839176584, 7128300.134290726), (442700.09649404953, 7128300.134290726), (442700.09649404953, 7128199.931484324), (442599.9839176584, 7128199.931484324))
((442599.9839176584, 7128600.246656435), (442700.09649404953, 7128600.246656435), (442700.09649404953, 7128500.043850033), (442599.9839176584, 7128500.043850033))
((442399.75876487617, 7130300.221990791), (442499.8713412673, 7130300.221990791), (442499.8713412673, 7130200.019184389), (442399.75876487617, 7130200.019184389))
((442299.646188485, 7130300.221990791), (442399.75876487617, 7130300.221990791), (442399.75876487617, 7130200.019184389), (442299.646188485, 7130200.019184389))
((442999.98927843897, 7131000.153475115), (443100.1018548301, 7131000.153475115), (443100.1018548301, 7130899.950668713), (442999.98927843897, 7130899.950668713))
((442699.65154926555, 7128200.42753782), (442799.7641256567, 7128200.42753782), (442799.7641256567, 7128100.224731418), (442699.65154926555, 7128100.224731418))
((443199.7694864372, 7130600.334356501), (443299.88206282834, 7130600.334356501), (443299.88206282834, 7130500.131550099), (443199.7694864372, 7130500.131550099))
((443099.6569100461, 7130800.243915808), (443199.76948643726, 7130800.243915808), (443199.76948643726, 7130700.041109406), (443099.6569100461, 7130700.041109406))
((442699.65154926555, 7128300.134290726), (442799.7641256567, 7128300.134290726), (442799.7641256567, 7128199.931484324), (442699.65154926555, 7128199.931484324))
