((437499.5818591187, 7142300.252137689), (437599.69443550985, 7142300.252137689), (437599.69443550985, 7142200.049331287), (437499.5818591187, 7142200.049331287))
((438699.59794146026, 7134100.487831616), (438799.7105178514, 7134100.487831616), (438799.7105178514, 7134000.285025214), (438699.59794146026, 7134000.285025214))
((437799.9195882921, 7135600.057553168), (437900.0321646832, 7135600.057553168), (437900.0321646832, 7135499.854746766), (437799.9195882921, 7135499.854746766))
((439099.6033022408, 7133400.060293796), (439199.7158786319, 7133400.060293796), (439199.7158786319, 7133299.857487394), (439099.6033022408, 7133299.857487394))
((437899.58721989923, 7135300.441240956), (437999.69979629037, 7135300.441240956), (437999.69979629037, 7135200.238434554), (437899.58721989923, 7135200.238434554))
((438699.59794146026, 7134000.285025214), (438799.7105178514, 7134000.285025214), (438799.7105178514, 7133900.082218812), (438699.59794146026, 7133900.082218812))
((437999.69979629037, 7132500.219250164), (438099.8123726815, 7132500.219250164), (438099.8123726815, 7132400.016443762), (437999.69979629037, 7132400.016443762))
((439299.82845502306, 7132900.038368779), (439399.9410314142, 7132900.038368779), (439399.9410314142, 7132799.835562377), (439299.82845502306, 7132799.835562377))
((439299.82845502306, 7132800.331615874), (439399.9410314142, 7132800.331615874), (439399.9410314142, 7132700.128809472), (439299.82845502306, 7132700.128809472))
((439199.7158786319, 7132800.331615874), (439299.82845502306, 7132800.331615874), (439299.82845502306, 7132700.128809472), (439199.7158786319, 7132700.128809472))
((438999.9356706336, 7133500.263100198), (439100.04824702477, 7133500.263100198), (439100.04824702477, 7133400.060293796), (438999.9356706336, 7133400.060293796))
((437799.9195882921, 7135400.147993861), (437900.0321646832, 7135400.147993861), (437900.0321646832, 7135299.945187459), (437799.9195882921, 7135299.945187459))
((437799.9195882921, 7135300.441240956), (437900.0321646832, 7135300.441240956), (437900.0321646832, 7135200.238434554), (437799.9195882921, 7135200.238434554))
((437799.9195882921, 7135500.350800263), (437900.0321646832, 7135500.350800263), (437900.0321646832, 7135400.147993861), (437799.9195882921, 7135400.147993861))
((436999.908866731, 7135100.035628152), (437100.0214431221, 7135100.035628152), (437100.0214431221, 7134999.83282175), (436999.908866731, 7134999.83282175))
((438899.82309424254, 7133500.263100198), (438999.9356706337, 7133500.263100198), (438999.9356706337, 7133400.060293796), (438899.82309424254, 7133400.060293796))
((439099.6033022408, 7133500.263100198), (439199.7158786319, 7133500.263100198), (439199.7158786319, 7133400.060293796), (439099.6033022408, 7133400.060293796))
((436999.908866731, 7135300.441240956), (437100.0214431221, 7135300.441240956), (437100.0214431221, 7135200.238434554), (436999.908866731, 7135200.238434554))
