((436999.908866731, 7135300.441240956), (437100.0214431221, 7135300.441240956), (437100.0214431221, 7135200.238434554), (436999.908866731, 7135200.238434554))
((427299.66763160715, 7115800.082218812), (427399.7802079983, 7115800.082218812), (427399.7802079983, 7115699.87941241), (427299.66763160715, 7115699.87941241))
((427799.7855687788, 7116000.487831616), (427899.89814516995, 7116000.487831616), (427899.89814516995, 7115900.285025214), (427799.7855687788, 7115900.285025214))
((428099.67835316824, 7116500.013703135), (428199.7909295594, 7116500.013703135), (428199.7909295594, 7116399.810896733), (428099.67835316824, 7116399.810896733))
((427699.67299238767, 7115500.4659066), (427799.7855687788, 7115500.4659066), (427799.7855687788, 7115400.263100198), (427699.67299238767, 7115400.263100198))
((427799.7855687788, 7115500.4659066), (427899.89814516995, 7115500.4659066), (427899.89814516995, 7115400.263100198), (427799.7855687788, 7115400.263100198))
((427200.0, 7115400.263100198), (427300.11257639114, 7115400.263100198), (427300.11257639114, 7115300.060293796), (427200.0, 7115300.060293796))
((427599.5604159966, 7115500.4659066), (427699.6729923877, 7115500.4659066), (427699.6729923877, 7115400.263100198), (427599.5604159966, 7115400.263100198))
((427699.67299238767, 7115900.285025214), (427799.7855687788, 7115900.285025214), (427799.7855687788, 7115800.082218812), (427699.67299238767, 7115800.082218812))
((427399.7802079983, 7115800.082218812), (427499.89278438943, 7115800.082218812), (427499.89278438943, 7115699.87941241), (427399.7802079983, 7115699.87941241))
((427799.7855687788, 7116100.1945845205), (427899.89814516995, 7116100.1945845205), (427899.89814516995, 7115999.991778119), (427799.7855687788, 7115999.991778119))
((427399.7802079983, 7115900.285025214), (427499.89278438943, 7115900.285025214), (427499.89278438943, 7115800.082218812), (427399.7802079983, 7115800.082218812))
((427899.89814516995, 7116400.30695023), (428000.0107215611, 7116400.30695023), (428000.0107215611, 7116300.104143828), (427899.89814516995, 7116300.104143828))
((428499.68371394876, 7115500.4659066), (428599.7962903399, 7115500.4659066), (428599.7962903399, 7115400.263100198), (428499.68371394876, 7115400.263100198))
((427699.67299238767, 7116100.1945845205), (427799.7855687788, 7116100.1945845205), (427799.7855687788, 7115999.991778119), (427699.67299238767, 7115999.991778119))
((427999.5657767771, 7116400.30695023), (428099.67835316824, 7116400.30695023), (428099.67835316824, 7116300.104143828), (427999.5657767771, 7116300.104143828))
((427899.89814516995, 7116100.1945845205), (428000.0107215611, 7116100.1945845205), (428000.0107215611, 7115999.991778119), (427899.89814516995, 7115999.991778119))
((427799.7855687788, 7115600.172659504), (427899.89814516995, 7115600.172659504), (427899.89814516995, 7115499.969853102), (427799.7855687788, 7115499.969853102))
((427699.67299238767, 7115600.172659504), (427799.7855687788, 7115600.172659504), (427799.7855687788, 7115499.969853102), (427699.67299238767, 7115499.969853102))
((428399.5711375576, 7115500.4659066), (428499.68371394876, 7115500.4659066), (428499.68371394876, 7115400.263100198), (428399.5711375576, 7115400.263100198))
((428399.5711375576, 7115600.172659504), (428499.68371394876, 7115600.172659504), (428499.68371394876, 7115499.969853102), (428399.5711375576, 7115499.969853102))
((428099.67835316824, 7116400.30695023), (428199.7909295594, 7116400.30695023), (428199.7909295594, 7116300.104143828), (428099.67835316824, 7116300.104143828))
((427200.0, 7115800.082218812), (427300.11257639114, 7115800.082218812), (427300.11257639114, 7115699.87941241), (427200.0, 7115699.87941241))
((427999.5657767771, 7116500.013703135), (428099.67835316824, 7116500.013703135), (428099.67835316824, 7116399.810896733), (427999.5657767771, 7116399.810896733))
((427200.0, 7115500.4659066), (427300.11257639114, 7115500.4659066), (427300.11257639114, 7115400.263100198), (427200.0, 7115400.263100198))
((427299.66763160715, 7115500.4659066), (427399.7802079983, 7115500.4659066), (427399.7802079983, 7115400.263100198), (427299.66763160715, 7115400.263100198))
((427699.67299238767, 7115400.263100198), (427799.7855687788, 7115400.263100198), (427799.7855687788, 7115300.060293796), (427699.67299238767, 7115300.060293796))
